Station Name: DUBLIN AIRPORT
Station Height: 71 M 
Latitude:53.428  ,Longitude: -6.241


date:  -  Date and Time (utc)
rain:  -  Precipitation Amount (mm)	  
temp:  -  Air Temperature (C)	
wetb:  -  Wet Bulb Temperature (C)
dewpt: -  Dew Point Temperature (C)             
rhum:  -  Relative Humidity (%)
vappr: -  Vapour Pressure (hPa)	 
msl:   -  Mean Sea Level Pressure (hPa)
wdsp:  -  Mean Wind Speed (knot)
wddir: -  Predominant Wind Direction (degree)
ww:    -  Synop code for Present Weather
w:     -  Synop code for Past Weather
sun:   -  Sunshine duration (hours)
vis:   -  Visibility (m)
clht:  -  Cloud height (100's of ft) - 999 if none 
clamt: -  Cloud amount
ind:   -  Indicator

date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt
01-jan-2020 00:00,0,0.0,0,6.9,0,5.7,4.1,8.2,82,1030.2,2,4,2,220,2,11,0.0,25000,22,7
01-jan-2020 01:00,0,0.0,0,6.9,0,5.5,3.7,7.9,80,1029.7,2,4,2,230,2,11,0.0,20000,30,7
01-jan-2020 02:00,0,0.0,0,6.3,0,4.7,2.4,7.3,76,1029.5,2,6,2,230,2,11,0.0,20000,28,7
01-jan-2020 03:00,3,0.0,0,4.7,0,3.6,2.0,7.0,82,1028.9,2,4,2,230,2,11,0.0,15000,999,3
01-jan-2020 04:00,3,0.0,0,0.6,0,0.1,-0.7,5.8,90,1028.1,2,3,2,150,2,11,0.0,15000,999,1
01-jan-2020 05:00,3,0.0,0,1.5,0,1.2,0.7,6.4,94,1027.3,2,3,2,140,2,11,0.0,15000,999,1
01-jan-2020 06:00,3,0.0,0,2.5,0,2.1,1.4,6.8,93,1027.1,2,3,2,110,2,11,0.0,18000,999,1
01-jan-2020 07:00,3,0.0,0,0.6,0,0.1,-0.8,5.8,90,1028.3,2,6,2,260,2,11,0.0,15000,999,1
01-jan-2020 08:00,3,0.0,0,2.1,0,1.6,0.8,6.5,91,1028.3,2,4,2,260,2,11,0.0,15000,250,5
01-jan-2020 09:00,3,0.0,0,2.2,0,1.7,0.9,6.5,91,1027.5,2,4,2,210,40,21,0.3,8000,250,5
01-jan-2020 10:00,3,0.0,0,1.7,0,1.4,0.8,6.5,94,1027.8,2,3,2,160,10,22,1.0,12000,250,6
01-jan-2020 11:00,0,0.0,0,6.0,0,4.7,2.9,7.5,80,1027.1,2,3,2,200,10,22,0.8,14000,250,6
01-jan-2020 12:00,0,0.0,0,6.4,0,5.0,3.0,7.6,79,1026.6,2,4,2,170,2,11,0.2,20000,250,6
01-jan-2020 13:00,0,0.0,0,7.4,0,5.6,3.1,7.7,74,1025.7,2,4,2,190,2,11,0.0,20000,250,7
01-jan-2020 14:00,0,0.0,0,7.3,0,5.7,3.6,7.9,77,1025.1,2,6,2,220,2,11,0.0,15000,25,7
01-jan-2020 15:00,0,0.0,0,7.2,0,5.4,3.0,7.5,74,1024.6,2,7,2,210,10,22,0.1,13000,25,6
01-jan-2020 16:00,0,0.0,0,7.1,0,5.4,3.0,7.6,75,1023.9,2,8,2,220,2,11,0.0,20000,23,6
01-jan-2020 17:00,0,0.0,0,6.5,0,4.9,2.6,7.4,76,1023.5,2,7,2,180,2,11,0.0,20000,220,6
01-jan-2020 18:00,0,0.0,0,5.3,0,4.1,2.2,7.2,81,1022.7,2,4,2,150,2,11,0.0,20000,999,3
01-jan-2020 19:00,0,0.0,0,4.3,0,3.6,2.6,7.3,88,1021.8,2,3,2,140,2,11,0.0,20000,999,3
01-jan-2020 20:00,3,0.0,0,1.6,0,1.1,0.2,6.2,91,1021.2,2,2,2,140,2,11,0.0,20000,999,3
01-jan-2020 21:00,3,0.0,0,2.0,0,1.8,1.4,6.8,96,1020.6,2,2,2,140,2,11,0.0,20000,999,3
01-jan-2020 22:00,3,0.0,0,3.4,0,2.9,2.2,7.1,91,1019.5,2,2,2,80,2,11,0.0,20000,200,7
01-jan-2020 23:00,3,0.0,0,6.1,0,5.0,3.6,7.8,83,1018.7,2,2,2,240,2,11,0.0,25000,210,7
02-jan-2020 00:00,0,0.0,0,7.7,0,6.1,4.0,8.1,77,1017.8,2,4,2,200,2,11,0.0,25000,999,4
02-jan-2020 01:00,0,0.0,0,8.2,0,6.4,4.1,8.2,75,1016.8,2,7,2,210,2,11,0.0,25000,999,3
02-jan-2020 02:00,0,0.0,0,7.9,0,6.2,4.0,8.1,76,1015.7,2,9,2,210,2,11,0.0,30000,999,3
02-jan-2020 03:00,0,0.0,0,7.2,0,5.8,4.0,8.1,80,1015.2,2,8,2,230,2,11,0.0,30000,999,3
02-jan-2020 04:00,0,0.0,0,7.5,0,5.9,3.7,8.0,77,1014.2,2,3,2,150,2,11,0.0,30000,250,5
02-jan-2020 05:00,0,0.0,0,8.2,0,6.4,4.1,8.2,75,1013.0,2,2,2,210,2,11,0.0,30000,240,5
02-jan-2020 06:00,0,0.0,0,8.2,0,6.8,5.0,8.8,81,1012.2,2,5,2,210,2,11,0.0,30000,230,7
02-jan-2020 07:00,0,0.0,0,8.9,0,7.4,5.7,9.1,80,1011.7,2,9,2,200,2,11,0.0,30000,250,7
02-jan-2020 08:00,0,0.0,0,9.6,0,8.0,6.2,9.4,79,1011.0,2,15,2,210,2,11,0.0,30000,20,7
02-jan-2020 09:00,0,0.0,0,10.0,0,8.5,6.7,9.9,81,1010.0,2,16,2,200,2,11,0.0,35000,200,7
02-jan-2020 10:00,0,0.0,0,10.4,0,8.7,6.9,9.9,78,1009.5,2,14,2,190,2,11,0.0,35000,200,7
02-jan-2020 11:00,0,0.0,0,10.5,0,9.1,7.6,10.4,82,1008.7,2,14,2,180,2,11,0.0,30000,18,7
02-jan-2020 12:00,2,0.0,0,10.6,0,9.6,8.6,11.1,87,1008.3,2,11,2,180,60,62,0.0,14000,16,8
02-jan-2020 13:00,0,0.4,0,10.4,0,9.8,9.1,11.6,92,1006.9,2,13,2,190,60,62,0.0,8000,16,8
02-jan-2020 14:00,0,0.1,0,10.8,0,10.0,9.1,11.6,90,1005.3,2,11,2,190,60,62,0.0,20000,16,7
02-jan-2020 15:00,2,0.0,0,11.0,0,10.1,9.1,11.6,89,1004.9,2,13,2,200,21,62,0.0,20000,14,7
02-jan-2020 16:00,0,0.0,0,11.3,0,9.7,8.1,10.7,80,1004.7,2,13,2,210,2,11,0.0,20000,100,6
02-jan-2020 17:00,0,0.0,0,11.1,0,9.5,7.8,10.6,80,1004.8,2,11,2,210,2,11,0.0,20000,40,6
02-jan-2020 18:00,0,0.0,0,11.2,0,9.5,7.7,10.5,79,1005.0,2,11,2,210,2,62,0.0,20000,30,6
02-jan-2020 19:00,0,0.3,0,10.3,0,9.3,8.3,10.9,87,1005.8,2,9,2,230,21,62,0.0,20000,40,7
02-jan-2020 20:00,2,0.0,0,10.2,0,9.3,8.4,11.0,88,1006.1,2,10,2,230,21,62,0.0,20000,30,7
02-jan-2020 21:00,0,0.0,0,10.4,0,9.4,8.3,11.0,87,1006.8,2,9,2,230,2,62,0.0,20000,20,7
02-jan-2020 22:00,2,0.0,0,9.3,0,9.0,8.7,11.2,96,1007.5,2,9,2,230,60,62,0.0,5000,8,8
02-jan-2020 23:00,0,0.1,0,9.2,0,9.0,8.7,11.3,97,1008.2,2,9,2,240,58,65,0.0,7000,8,8
03-jan-2020 00:00,0,0.3,0,7.5,0,6.8,5.9,9.3,90,1010.0,2,12,2,250,58,65,0.0,17000,7,8
03-jan-2020 01:00,2,0.0,0,6.5,0,5.8,4.9,8.7,89,1011.7,2,17,2,330,21,65,0.0,20000,22,7
03-jan-2020 02:00,0,0.0,0,5.4,0,4.5,3.3,7.7,86,1013.5,2,14,2,320,2,11,0.0,30000,30,7
03-jan-2020 03:00,0,0.0,0,4.5,0,3.5,1.9,7.0,84,1015.5,2,13,2,310,1,65,0.0,30000,250,6
03-jan-2020 04:00,0,0.0,0,4.5,0,3.6,2.2,7.2,85,1017.0,2,12,2,300,2,11,0.0,30000,49,7
03-jan-2020 05:00,0,0.0,0,3.8,0,3.1,1.9,7.1,88,1018.4,2,11,2,290,2,11,0.0,30000,50,7
03-jan-2020 06:00,0,0.0,0,4.7,0,3.8,2.5,7.3,85,1020.2,2,11,2,280,2,65,0.0,25000,50,7
03-jan-2020 07:00,0,0.0,0,3.9,0,3.1,1.8,7.0,87,1021.7,2,12,2,280,2,11,0.0,25000,50,7
03-jan-2020 08:00,0,0.0,0,3.7,0,2.9,1.6,6.9,86,1022.8,2,9,2,270,2,11,0.0,25000,250,5
03-jan-2020 09:00,0,0.0,0,3.4,0,2.7,1.5,6.9,88,1023.9,2,11,2,270,2,11,0.2,25000,250,4
